timestamp,pH,EC
2025-08-05 15:17:02,,-99.9
2025-08-05 15:17:02,,-99.9
2025-08-05 15:17:02,,-99.9
2025-08-05 15:17:02,,-99.9
2025-08-05 15:17:02,-99.9,
2025-08-05 15:17:22,,-99.9
2025-08-05 15:17:22,,-99.9
2025-08-05 15:17:22,,-99.9
2025-08-05 15:17:22,,-99.9
2025-08-05 15:17:22,-99.9,
2025-08-05 15:17:42,,-99.9
2025-08-05 15:17:42,,-99.9
2025-08-05 15:17:42,,-99.9
2025-08-05 15:17:42,,-99.9
2025-08-05 15:17:42,-99.9,
2025-08-05 15:18:02,,-99.9
2025-08-05 15:18:02,,-99.9
2025-08-05 15:18:02,,-99.9
2025-08-05 15:18:02,,-99.9
2025-08-05 15:18:02,-99.9,
2025-08-05 15:18:22,,-99.9
2025-08-05 15:18:22,,-99.9
2025-08-05 15:18:22,,-99.9
2025-08-05 15:18:22,,-99.9
2025-08-05 15:18:22,-99.9,
2025-08-05 15:18:42,,-99.9
2025-08-05 15:18:42,,-99.9
2025-08-05 15:18:42,,-99.9
2025-08-05 15:18:42,,-99.9
2025-08-05 15:18:42,-99.9,
2025-08-05 15:19:02,,-99.9
2025-08-05 15:19:02,,-99.9
2025-08-05 15:19:02,,-99.9
2025-08-05 15:19:02,,-99.9
2025-08-05 15:19:02,-99.9,
2025-08-05 15:19:22,,-99.9
2025-08-05 15:19:22,,-99.9
2025-08-05 15:19:22,,-99.9
2025-08-05 15:19:22,,-99.9
2025-08-05 15:19:22,-99.9,
2025-08-05 15:19:42,,-99.9
2025-08-05 15:19:42,,-99.9
2025-08-05 15:19:42,,-99.9
2025-08-05 15:19:42,,-99.9
2025-08-05 15:19:42,-99.9,
2025-08-05 15:20:02,,-99.9
2025-08-05 15:20:02,,-99.9
2025-08-05 15:20:02,,-99.9
2025-08-05 15:20:02,,-99.9
2025-08-05 15:20:02,-99.9,
2025-08-05 15:20:22,,-99.9
2025-08-05 15:20:22,,-99.9
2025-08-05 15:20:22,,-99.9
2025-08-05 15:20:22,,-99.9
2025-08-05 15:20:22,-99.9,
2025-08-05 15:20:42,,-99.9
2025-08-05 15:20:42,,-99.9
2025-08-05 15:20:42,,-99.9
2025-08-05 15:20:42,,-99.9
2025-08-05 15:20:42,-99.9,
2025-08-05 15:21:02,,-99.9
2025-08-05 15:21:02,,-99.9
2025-08-05 15:21:02,,-99.9
2025-08-05 15:21:02,,-99.9
2025-08-05 15:21:02,-99.9,
2025-08-05 15:21:22,,-99.9
2025-08-05 15:21:22,,-99.9
2025-08-05 15:21:22,,-99.9
2025-08-05 15:21:22,,-99.9
2025-08-05 15:21:22,-99.9,
2025-08-05 15:21:42,,-99.9
2025-08-05 15:21:42,,-99.9
2025-08-05 15:21:42,,-99.9
2025-08-05 15:21:42,,-99.9
2025-08-05 15:21:42,-99.9,
2025-08-05 15:22:02,,-99.9
2025-08-05 15:22:02,,-99.9
2025-08-05 15:22:02,,-99.9
2025-08-05 15:22:02,,-99.9
2025-08-05 15:22:02,-99.9,
2025-08-05 15:22:22,,-99.9
2025-08-05 15:22:22,,-99.9
2025-08-05 15:22:22,,-99.9
2025-08-05 15:22:22,,-99.9
2025-08-05 15:22:22,-99.9,
2025-08-05 15:22:42,,-99.9
2025-08-05 15:22:42,,-99.9
2025-08-05 15:22:42,,-99.9
2025-08-05 15:22:42,,-99.9
2025-08-05 15:22:42,-99.9,
2025-08-05 15:23:02,,-99.9
2025-08-05 15:23:02,,-99.9
2025-08-05 15:23:02,,-99.9
2025-08-05 15:23:02,,-99.9
2025-08-05 15:23:02,-99.9,
2025-08-05 15:23:22,,-99.9
2025-08-05 15:23:22,,-99.9
2025-08-05 15:23:22,,-99.9
2025-08-05 15:23:22,,-99.9
2025-08-05 15:23:22,-99.9,
2025-08-05 15:23:42,,-99.9
2025-08-05 15:23:42,,-99.9
2025-08-05 15:23:42,,-99.9
2025-08-05 15:23:42,,-99.9
2025-08-05 15:23:42,-99.9,
2025-08-05 15:24:02,,-99.9
2025-08-05 15:24:02,,-99.9
2025-08-05 15:24:02,,-99.9
2025-08-05 15:24:02,,-99.9
2025-08-05 15:24:02,-99.9,
2025-08-05 15:24:22,,-99.9
2025-08-05 15:24:22,,-99.9
2025-08-05 15:24:22,,-99.9
2025-08-05 15:24:22,,-99.9
2025-08-05 15:24:22,-99.9,
2025-08-05 15:24:42,,-99.9
2025-08-05 15:24:42,,-99.9
2025-08-05 15:24:42,,-99.9
2025-08-05 15:24:42,,-99.9
2025-08-05 15:24:42,-99.9,
2025-08-05 15:25:02,,-99.9
2025-08-05 15:25:02,,-99.9
2025-08-05 15:25:02,,-99.9
2025-08-05 15:25:02,,-99.9
2025-08-05 15:25:02,-99.9,
2025-08-05 15:25:22,,-99.9
2025-08-05 15:25:22,,-99.9
2025-08-05 15:25:22,,-99.9
2025-08-05 15:25:22,,-99.9
2025-08-05 15:25:22,-99.9,
2025-08-05 15:25:42,,-99.9
2025-08-05 15:25:42,,-99.9
2025-08-05 15:25:42,,-99.9
2025-08-05 15:25:42,,-99.9
2025-08-05 15:25:42,-99.9,
2025-08-05 15:26:02,,-99.9
2025-08-05 15:26:02,,-99.9
2025-08-05 15:26:02,,-99.9
2025-08-05 15:26:02,,-99.9
2025-08-05 15:26:02,-99.9,
2025-08-05 15:26:22,,-99.9
2025-08-05 15:26:22,,-99.9
2025-08-05 15:26:22,,-99.9
2025-08-05 15:26:22,,-99.9
2025-08-05 15:26:22,-99.9,
2025-08-05 15:28:38,,-99.9
2025-08-05 15:28:38,,-99.9
2025-08-05 15:28:38,-99.9,
2025-08-05 15:28:58,,-99.9
2025-08-05 15:28:58,,-99.9
2025-08-05 15:28:58,-99.9,
2025-08-05 15:29:18,,-99.9
2025-08-05 15:29:18,,-99.9
2025-08-05 15:29:18,-99.9,
2025-08-05 15:29:38,,-99.9
2025-08-05 15:29:38,,-99.9
2025-08-05 15:29:38,-99.9,
2025-08-05 15:29:58,,-99.9
2025-08-05 15:29:58,,-99.9
2025-08-05 15:29:58,-99.9,
2025-08-05 15:30:18,,-99.9
2025-08-05 15:30:18,,-99.9
2025-08-05 15:30:18,-99.9,
2025-08-05 15:31:17,,-99.9
2025-08-05 15:31:17,,-99.9
2025-08-05 15:31:18,-99.9,
2025-08-05 15:31:37,,-99.9
2025-08-05 15:31:37,,-99.9
2025-08-05 15:31:38,-99.9,
2025-08-05 15:31:57,,-99.9
2025-08-05 15:31:57,,-99.9
2025-08-05 15:31:58,-99.9,
2025-08-05 15:32:17,,-99.9
2025-08-05 15:32:17,,-99.9
2025-08-05 15:32:18,-99.9,
2025-08-05 15:32:37,,-99.9
2025-08-05 15:32:37,,-99.9
2025-08-05 15:32:38,-99.9,
2025-08-05 15:32:57,,-99.9
2025-08-05 15:32:57,,-99.9
2025-08-05 15:32:58,-99.9,
2025-08-05 15:33:17,,-99.9
2025-08-05 15:33:17,,-99.9
2025-08-05 15:33:18,-99.9,
2025-08-05 15:35:23,,-99.9
2025-08-05 15:35:23,-99.9,
2025-08-05 15:35:23,,-99.9
2025-08-05 15:35:43,-99.9,
2025-08-05 15:35:43,,-99.9
2025-08-05 15:35:43,,-99.9
2025-08-05 15:36:03,,-99.9
2025-08-05 15:36:03,-99.9,
2025-08-05 15:36:03,,-99.9
2025-08-05 15:36:23,-99.9,
2025-08-05 15:36:23,,-99.9
2025-08-05 15:36:23,,-99.9
2025-08-05 15:36:43,-99.9,
2025-08-05 15:36:43,,-99.9
2025-08-05 15:36:43,,-99.9
2025-08-05 15:37:03,,-99.9
2025-08-05 15:37:03,,-99.9
2025-08-05 15:37:03,-99.9,
2025-08-05 15:37:23,-99.9,
2025-08-05 15:37:23,,-99.9
2025-08-05 15:37:23,,-99.9
2025-08-05 15:37:43,-99.9,
2025-08-05 15:37:43,,-99.9
2025-08-05 15:37:43,,-99.9
